custom/total_reward,custom/total_distance,custom/routes_completed,custom/avg_speed,custom/mean_reward,custom/avg_center_dev,time/fps,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,train/std,train/clip_fraction,train/value_loss,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/loss,train/explained_variance,train/entropy_loss,train/approx_kl
-20.0,0.10433263331651688,0.004694835680751174,[0.30709414],-10.0,0.020445127388098255,,,,,,,,,,,,,,,,,
[0.5681021],14.664651963394135,0.017793594306049824,[1.81872983],[0.00747503],0.2938379804547824,,,,,,,,,,,,,,,,,
-20.0,0.08991707861423492,0.0019267822736030828,[0.28586941],-10.0,0.023181192626412758,,,,,,,,,,,,,,,,,
[-10.],2.2426729276776314,0.00291970802919708,[0.92341261],[-0.41666667],0.12422359171418951,,,,,,,,,,,,,,,,,
,,,,,,8,-4.382444031746033,2048,32.36507936507937,243,2,,,,,,,,,,,
[-9.84432825],12.29194699972868,0.057777777777777775,[3.10570574],[-0.29831298],0.5620954452990432,,,,,,,1.005929946899414,0.06552734375,1.9887584592215717,0.2,9.9594911236096e-05,-0.005969172558980063,20,0.03376460075378418,-0.18287241458892822,-2.8473722085356714,0.0057801977
[0.],3.9584887102246284,0.00946969696969697,[1.53151163],[0.],0.08531491226724239,,,,,,,,,,,,,,,,,
[0.],6.2770277708768845,0.016706443914081145,[2.0975202],[0.],0.3719643805820059,,,,,,,,,,,,,,,,,
[0.63420707],8.160551754757762,0.008138351983723296,[1.26605189],[0.00857037],0.11136162916253388,,,,,,,,,,,,,,,,,
-20.0,0.13471472263336182,0.0027548209366391185,[0.41953833],-10.0,0.018527924935900192,,,,,,,,,,,,,,,,,
[0.27596162],9.110123311635107,0.011037527593818985,[1.75091696],[0.00520682],0.2715971777985256,,,,,,,,,,,,,,,,,
[-10.],4.149409174919128,0.0061823802163833074,[1.73181572],[-0.43478261],0.16104502752088715,,,,,,,,,,,,,,,,,
[0.],7.23101431876421,0.06956521739130435,[2.01851013],[0.],0.14456790582798779,,,,,,,,,,,,,,,,,
[-9.72886678],4.58964254707098,0.005656108597285068,[1.34928682],[-0.25602281],0.24704624378624085,,,,,,,,,,,,,,,,,
[0.],5.654994498938322,0.011650485436893204,[1.25378627],[0.],0.16161688561536816,,,,,,,,,,,,,,,,,
[-10.],2.999292166903615,0.006896551724137931,[1.11998443],[-0.37037037],0.11561711120798153,,,,,,,,,,,,,,,,,
[0.17309332],2.6645328290760517,0.005244755244755245,[0.70910368],[0.00402543],0.11530524311056568,,,,,,,,,,,,,,,,,
[-10.],1.4277119413018227,0.007326007326007326,[1.24670407],[-0.83333333],0.1620022751698429,,,,,,,,,,,,,,,,,
[-9.98697918],1.213869072496891,0.002044989775051125,[0.91793472],[-0.76822917],0.19166116825887272,,,,,,,,,,,,,,,,,
